INDIVIDUAL_ID,cur_brand,first_buy_brand,babyage,ZONE,breastfeed,enroll_type2,enroll_age,open_rate0,click_rate0,redem_rate0
1E+12, , ,300,1,1,CoReg,-59,0.09375,0,0
1E+12, , ,870,1,2,Self Enrolled,-140,0.043956044,0,0
1E+12,3,3,120,1,1,Self Enrolled,-247,0,0,0
1E+12,1,1,150,1,3,Self Enrolled,-169,0.052631579,0,0.6
1E+12, , ,570,1,1,Self Enrolled,-98,0,0,0
1E+12, , ,420,1,1,Self Enrolled,-241,0,0,0
1E+12, , ,750,1,2,Self Enrolled,-160,0.136363636,0.03030303,0
1E+12,3,3,330,1,2,Self Enrolled,-64,0.714285714,0.285714286,0
1E+12, , ,510,1,1,Self Enrolled,-223,0.133333333,0,1
1E+12,1,1,60,1,2,CoReg,-31,0.911764706,0.205882353,0.666666667
1E+12,3, ,1050,1,1,Self Enrolled,-49,0.1,0,0
1E+12, ,1,30,1,2,Self Enrolled,-32,0.19047619,0,0
1E+12,1,1,30,1,1,Self Enrolled,9,0.25,0.071428571,0.25
1E+12, ,1,150,1,1,Self Enrolled,-71,0.268656716,0.029850746,0
1E+12,1,1,0,1,1,CoReg,-221,0.384615385,0,0
1E+12,1, ,150,1,2,Self Enrolled,-75,0.45,0.175,0.4
1E+12,1,1,60,1,3,CoReg,-248,0,0,0
1E+12, ,1,270,1,2,Self Enrolled,-122,0.25,0.035714286,0.166666667
1E+12,2,2,240,1,1,Self Enrolled,-234,0.068181818,0,0
1E+12,2,2,90,1,2,Self Enrolled,140,0.026315789,0,0
1E+12, , ,630,1,2,Self Enrolled,-44,0,0,0
1E+12,1,1,330,1,2,CoReg,-186,0.105263158,0,0.166666667
1E+12, , ,1080,1,2,Self Enrolled,42,0,0,0
1E+12, , ,210,1,1,Self Enrolled,-124,0.386363636,0,0
1E+12, , ,0,1,1,Self Enrolled,-141,0,0,0
1E+12,1,1,60,1,1,Self Enrolled,25,0.111111111,0,0.4
1E+12, , ,480,1,2,Self Enrolled,-110,0.185185185,0,0.75
1E+12, , ,540,1,2,Self Enrolled,-203,0,0,0
1E+12,1,1,60,1,3,Self Enrolled,10,0.785714286,0.261904762,0
1E+12,1, ,540,1,1,Self Enrolled,-228,0,0,0
1E+12, , ,1020,1,1,Self Enrolled,-128,0.235294118,0,0
1E+12,4,2,210,1,2,Self Enrolled,-52,0.057692308,0.019230769,0
1E+12,1,6,60,1,2,Self Enrolled,22,0,0,0.75
1E+12, , ,450,1,1,Self Enrolled,-170,0.157894737,0.078947368,0
1E+12,2,1,90,1,1,Self Enrolled,-156,0.5,0.0625,0
1E+12,1,1,180, ,2,Self Enrolled,3,0.157894737,0,0
1E+12, , ,960,1,1,Self Enrolled,1,0,0,0
1E+12,3,3,180,1,1,Self Enrolled,106,0.318181818,0.090909091,0
1E+12,1,1,30,1,1,Self Enrolled,-94,0.577777778,0.155555556,0.571428571
1E+12, , ,780,1,3,Self Enrolled,-160,0,0,0
1E+12,3, ,630,1,1,Self Enrolled,-135,0.555555556,0,1
1E+12, , ,810,1,2,Self Enrolled,-243,0.125,0,0
1E+12,1,1,210,1,2,Self Enrolled,-241,0.121212121,0,0
1E+12,1,1,60,1,2,Self Enrolled,-236,0,0,0
1E+12, , ,0,1,1,Self Enrolled,35,0.416666667,0.083333333,1
1E+12, ,3,150,1,1,Self Enrolled,-185,0.162162162,0,0.333333333
1E+12,1,1,0,1,2,Self Enrolled,-18,0.086419753,0,0
1E+12,2,2,90,1,2,Self Enrolled,329,0.333333333,0.058823529,0.285714286
1E+12, , ,540,1,2,Self Enrolled,-1026,0.145454545,0,0
1E+12, ,1,60,1,2,Self Enrolled,-200,0.016949153,0,0.333333333
1E+12, , ,150, ,1,Self Enrolled,-84,0.023255814,0,0
1E+12,1,1,150,1,2,Self Enrolled,-144,0.963636364,0.181818182,0.125
1E+12, ,2,240,1,1,Self Enrolled,-1687,0.846153846,0.58974359,0
1E+12,1,1,60,1,2,CoReg,-193,0.6,0.4,0
1E+12,1,1,90,1,2,Self Enrolled,164,0.131578947,0.026315789,0.8
1E+12, ,2,60,1,2,Self Enrolled,-241,0.102564103,0,0
1E+12, ,1,210,1,2,Self Enrolled,-117,0.079545455,0.011363636,1
