cur_brand,first_buy_brand,babyage,ZONE,breastfeed,enroll_type2,enroll_age,open_rate0,click_rate0,redem_rate0
0,0,120,1,0,1,-247,0.0,0.0,0.0
1,1,150,1,1,1,-169,0.052631579,0.0,0.6
0,0,330,1,1,1,-64,0.714285714,0.285714286,0.0
1,1,60,1,1,0,-31,0.911764706,0.205882353,0.666666667
1,1,30,1,0,1,9,0.25,0.071428571,0.25
1,1,0,1,0,0,-221,0.384615385,0.0,0.0
1,1,60,1,1,0,-248,0.0,0.0,0.0
0,0,240,1,0,1,-234,0.068181818,0.0,0.0
0,0,90,1,1,1,140,0.026315789,0.0,0.0
1,1,330,1,1,0,-186,0.105263158,0.0,0.166666667
1,1,60,1,0,1,25,0.111111111,0.0,0.4
1,1,60,1,1,1,10,0.785714286,0.261904762,0.0
0,0,210,1,1,1,-52,0.057692308,0.019230769,0.0
1,0,60,1,1,1,22,0.0,0.0,0.75
0,1,90,1,0,1,-156,0.5,0.0625,0.0
0,0,180,1,0,1,106,0.318181818,0.090909091,0.0
1,1,30,1,0,1,-94,0.577777778,0.155555556,0.571428571
1,1,210,1,1,1,-241,0.121212121,0.0,0.0
1,1,60,1,1,1,-236,0.0,0.0,0.0
1,1,0,1,1,1,-18,0.086419753,0.0,0.0
0,0,90,1,1,1,329,0.333333333,0.058823529,0.285714286
1,1,150,1,1,1,-144,0.963636364,0.181818182,0.125
1,1,60,1,1,0,-193,0.6,0.4,0.0
1,1,90,1,1,1,164,0.131578947,0.026315789,0.8
1,1,0,1,1,1,58,0.225806452,0.096774194,0.125
1,1,120,1,1,1,-362,0.488888889,0.222222222,0.0
1,1,270,1,0,1,29,0.964285714,0.214285714,0.333333333
1,1,240,1,1,1,-75,0.056338028,0.0,0.375
0,0,330,1,0,1,-69,0.24137931,0.017241379,0.142857143
1,1,360,1,1,1,-28,0.0,0.0,0.0
1,1,150,1,1,1,-1866,0.312,0.048,0.0
1,1,30,1,0,1,-165,0.298245614,0.0,0.125
0,1,150,1,0,1,30,0.075,0.0,0.0
1,1,270,1,1,1,-83,0.0,0.0,0.0
0,0,360,1,1,1,8,0.027522936,0.009174312,0.6
1,1,0,1,1,1,-69,0.0,0.0,0.0
0,1,300,1,1,1,158,0.025,0.0,0.333333333
0,0,120,1,0,1,-7,0.010869565,0.010869565,0.0
0,0,0,1,1,1,-39,0.621621622,0.0,0.8
1,1,150,1,0,1,-39,0.457142857,0.228571429,1.0
0,1,60,1,1,1,-218,0.0,0.0,0.0
1,0,60,1,1,1,-162,0.583333333,0.138888889,0.5
0,0,0,1,1,1,-110,0.5,0.2,0.5
1,1,360,1,1,1,-4,0.0,0.0,0.0
1,1,30,1,1,1,29,0.107142857,0.035714286,0.0
1,1,30,1,1,1,-94,0.45,0.016666667,0.5
0,0,60,1,1,1,50,0.28,0.04,0.0
0,0,0,1,0,1,-138,0.32,0.0,0.0
0,0,210,1,1,1,-43,0.153846154,0.019230769,0.0
1,1,90,1,1,1,-224,0.367647059,0.058823529,0.666666667
1,1,0,0,0,1,-100,0.034090909,0.0,0.285714286
1,1,330,1,1,1,-134,0.0,0.0,1.0
0,0,210,1,1,1,-144,0.011363636,0.0,0.0
1,1,60,1,1,1,-16,0.0,0.0,0.0
0,1,270,1,1,1,-6,0.076923077,0.0,0.0
1,1,180,1,1,1,-75,0.217391304,0.0,0.0
1,1,330,0,1,1,292,0.071428571,0.0,0.0
0,1,30,0,0,1,-245,0.03,0.01,0.4
